Date,Time,Home,Score,Away,League,Venue,H2H_URL
,,FC Krasnodar,1-2,Krylya Sovetov Samara,,,https://www.fctables.com/h2h/fc-krasnodar/krylya-sovetov-samara/
,,Dynamo Kyiv,2-0,Hamrun Spartans,,,https://www.fctables.com/h2h/dynamo-kyiv/hamrun-spartans/
,,Drita,0-1,FC København,,,https://www.fctables.com/h2h/drita1/fc-copenhagen/
,,Thor Akureyri,0-0,Grindavik,,,https://www.fctables.com/h2h/grindavik/thor-akureyri/
,,Bromsgrove Sporting,4-0,Solihull Moors,,,https://www.fctables.com/h2h/bromsgrove-sporting/solihull-moors/
,,FC Differdange 03,0-0,TNS,,,https://www.fctables.com/h2h/fc-differdange-03/tns/
,,Wingate & Finchley,0-0,Boreham Wood,,,https://www.fctables.com/h2h/boreham-wood/wingate-finchley/
,,Matlock Town,1-0,Mansfield,,,https://www.fctables.com/h2h/mansfield/matlock-town/
,,Inter Club d'Escaldes,0-0,Olimpija Ljubljana,,,https://www.fctables.com/h2h/inter-club-descaldes/olimpija-ljubljana/
,,Barnet,0-0,Newport,,,https://www.fctables.com/h2h/barnet/newport/
,,Braintree Town,0-0,Colchester,,,https://www.fctables.com/h2h/braintree-town/colchester/
,,Altrincham,0-0,Port Vale,,,https://www.fctables.com/h2h/altrincham/port-vale/
,,Sutton United,0-0,Millwall,,,https://www.fctables.com/h2h/millwall/sutton-united/
,,Valencia,0-0,Marseille,,,https://www.fctables.com/h2h/marseille/valencia/
,,East Stirlingshire,0-0,Albion Rovers,,,https://www.fctables.com/h2h/albion-rovers/east-stirlingshire/
,,Cowdenbeath,0-0,Bo'ness United,,,https://www.fctables.com/h2h/boness-united/cowdenbeath/
,,Civil Service Strollers,0-0,Celtic B,,,https://www.fctables.com/h2h/celtic-b/civil-service-strollers/
,,Tranent Juniors,0-0,Berwick,,,https://www.fctables.com/h2h/berwick/tranent-juniors/
,,Cumbernauld Colts,0-0,Clydebank,,,https://www.fctables.com/h2h/clydebank/cumbernauld-colts/
,,Saburtalo,2-2,Levadia Maardu,,,https://www.fctables.com/h2h/levadia-maardu/saburtalo/
,,Al-Akhdar,0-0,Al Ahli Tripoli,,,https://www.fctables.com/h2h/al_ahli_tripoli/alakhdar/
,,Al-Ittihad,3-2,Asswehly,,,https://www.fctables.com/h2h/alittihad/asswehly/
,,Al Ahli Benghazi,1-2,Al Hilal,,,https://www.fctables.com/h2h/al_ahli_benghazi/al_hilal/
,,Sholing,-,Aldershot,,,https://www.fctables.com/h2h/aldershot/sholing/
,,Broxburn Athletic,-,Edusport Academy,,,https://www.fctables.com/h2h/broxburn_athletic/edusport-academy/
,,FK Crvena zvezda,-,Lincoln Red Imps FC,,,https://www.fctables.com/h2h/fk-crvena-zvezda/lincoln-red-imps-fc/
,,General Caballero JLM,-,Sportivo Trinidense,,,https://www.fctables.com/h2h/general-caballero-jlm/sportivo-trinidense/
,,Leiknir Reykjavik,-,Keflavik,,,https://www.fctables.com/h2h/keflavik/leiknir-reykjavik/
,,Njardvik,-,HK Kopavogs,,,https://www.fctables.com/h2h/hk-kopavogs/njardvik/
,,Throttur Reykjavík,-,Fylkir,,,https://www.fctables.com/h2h/fylkir/throttur-reykjavik/
